PSP:ON_PROT_INTERACT,count
SMAD2,2
RPL13A,2
eIF3-eta,2
CTIF,2
PPP2R5D,2
AMPKA1,2
CDC6,2
UCHL3,2
CDC5L,2
CLIM1,2
TNRC6A,2
SEPT7,2
Elf-1,2
MMP14,2
RAC3,2
E2F2,2
ITGB5,2
Jun,2
MAPKAPK5,2
KPNB2,2
SEC31A,2
NKX3-1,2
CD44,2
HAUS8,2
KIF22,2
VPRBP,2
TFEB,2
SPT6,2
RAD52,2
Myb,2
ERH,2
SYN1,2
BRSK1,2
TIAF1,2
SAP30,2
EPRS,2
VACAMKL,2
RBBP4,2
DUSP23,2
Tau iso3,2
SLK,2
TERT,2
EID1,2
RIP,2
TAZ,2
EIF4A1,2
STX4,2
emerin,2
USP24,2
FLNB,2
DAPK2,2
Ron,2
CCND3,2
CtIP,2
CUL3,2
SRF,2
TOP3A,2
RAB27A,2
NRas,2
TOM20,2
CHD-4,2
AXL,2
EEF1G,2
ERK5,2
FBPase,2
KI-67,2
STX1A,2
FAS,2
ECSIT,2
IPO7,2
eEF1B,2
YB-1,2
Fes,2
TWISTNB,2
POLR3A,2
POLM,2
PAK4,2
RGS2,2
FOXO1A,2
YpkA,2
MAGE-A6,2
FBXO9,2
TWIST1,2
SCAP,2
IkB-beta,2
RASD2,2
USP15,2
JNK2,2
IPO13,2
Sin1,2
ERCC2,2
PRRC2C iso2,2
REG3G,2
NUP214,2
TRIM3,2
DDX31,2
K18,2
PAR3,2
DNCLI1,2
CLN3,2
DOR-1,2
MIS12,2
CENPC1,2
hnRNP U,2
LIG3,2
CCNH,2
CSRP1,2
DVL1,2
GR,2
NANOG,2
53BP2,2
UBE2A,2
STLK3,2
GM130,2
GRASP65,2
CDT1,2
DNAJB12,2
RKHD4,2
BRD8 iso2,2
SART3,2
fascin,2
ARNT,2
HPK1,2
DAAM1,2
ANK1,2
GEFT,2
PRKD2,2
PRKD3,2
E4,2
GTF2B,2
RECQL4,2
TSN,2
HYPK,2
VEGFR2,2
MEIS1,2
GPR89A,2
SCN8A,2
syntenin,2
Cbl-b,2
KLC1,2
GRB10,2
KIF20A,2
HOXA10,2
OTUB1,2
CENTG1,2
N4BP1,2
CYC1,2
DICER1,2
UBE2G2,2
MKL1,2
FANCM,2
KRas iso2,2
PACT,2
SDHB,2
IP3R1,2
CACYBP,2
Abi-2,2
PXR,2
MRLC3,2
WDR34,2
TRBP,2
WDR60,2
HSP40,2
GADD45A,2
TR-beta1,1
STAG1,1
UBE1,1
utrophin,1
ACAT1,1
SMC2L1,1
RNF14,1
FPR2,1
STAG2,1
SMO,1
UFD1L,1
SIRT3,1
Src iso1,1
GAPVD1,1
NAT14,1
NOT1,1
CAB39,1
ARHGAP2,1
CCR4,1
ABHD5,1
RTKN,1
RANBP1,1
UBE2D3,1
CCNF,1
XRCC3,1
APC4,1
Bcl-9L,1
S100A11,1
CNAP1,1
TRPV5,1
ARID1A,1
IDH1,1
SOX9,1
TORC2,1
RGS13,1
Nur77,1
EPOR,1
PITX1,1
STAT4,1
MST3,1
VDR,1
SNX18,1
IFNAR2,1
DUX4,1
syndecan-1,1
PHACTR1,1
XRCC4,1
USP33,1
AP1B1,1
SET iso2,1
ITM1,1
ANKRA2,1
TAT,1
CCM2,1
EDG-1,1
TrkA,1
ATP5C,1
AP1M2,1
RAD54L2,1
CAND1,1
ADRM1,1
ATP6V1B1,1
TUBB1,1
ATP6V1A,1
DHODH,1
LANA,1
Sec5,1
PKCT,1
MON1A,1
ATR,1
XPA,1
AKAP12,1
NEK8,1
H2AFY iso1,1
RREB1,1
UBR5,1
RPT2,1
CMTM4,1
CDC16,1
ARHGAP3,1
NFYA,1
STX8,1
SNIP1,1
GDI1,1
RILP,1
TAT-SF1,1
FANCI,1
SH3PXD2B,1
HMOX1,1
KLHL6,1
STS-1,1
STS2,1
WASP,1
MYO5B,1
PPP2CB,1
RNF6,1
MDA5,1
TRIM32,1
CRMP-2,1
IPO11,1
GRF-1,1
MYO1E,1
MPRIP,1
CREB3 iso3,1
MOBP,1
KCTD15,1
CARD9,1
NFH,1
RBM17,1
HOXC9,1
CBX1,1
CBX3,1
KPNA6,1
TOP2A,1
PHLPP,1
MAPKAPK2,1
MKK6,1
WDR67,1
MARCH1,1
Akt2,1
K14,1
FBXL8,1
LIMD1,1
SLC29A1,1
GBF1,1
eNOS,1
MARCH6,1
SENP1,1
CACNA1A,1
EEF1A2,1
E1B-AP5,1
WWOX,1
PDHK1,1
Moesin,1
K8,1
AKAP11,1
APLF,1
NOB1P,1
MYH1,1
ATG16L1,1
KLF4,1
CHD-3 iso3,1
MMS22L,1
H3 iso3,1
MGAT1,1
SGOL2,1
KCNJ8,1
DAG1,1
laforin,1
ZAP,1
NHLRC1,1
TCF20,1
UBE3A,1
PHB,1
AKAP13,1
K5,1
TLE3,1
TIM-1,1
PPP6C,1
NFL,1
ME1,1
NOLA1,1
PLD1,1
AMFR,1
E2A,1
DAT,1
GABPA,1
FMNL2,1
ZWILCH,1
ROD1,1
DFNA5,1
COX1,1
HIGD1A,1
COX2,1
PKCE,1
COX4I1,1
PKCZ,1
NAP1L1,1
EGF,1
SLC5A1,1
SNAP29,1
AIP,1
SEPT11,1
SEPT8,1
SEPT9,1
SEPT6,1
RALBP1,1
GOSR2,1
SCFD1,1
TCF12,1
USF1,1
CRIP1,1
CDK5R1,1
NXF1,1
G6PD,1
THBS1,1
MEKK3,1
CDC45L,1
LAMTOR1,1
PIK3R6,1
RCV1,1
NRF1,1
TRAF4,1
p40phox,1
p67phox,1
acinus,1
ZMYM5,1
GPIbA,1
FOXM1,1
RACK7,1
YY1,1
USP36,1
NFAT2,1
CALCOCO1,1
PIAS2,1
NISCH,1
RARG,1
ACP1,1
COL4A3BP,1
MARCH8,1
FOXK2,1
CENPT,1
NOD1,1
MIB1,1
VPS36,1
STAM2,1
STAM1,1
CUL4B,1
RNF34,1
PRRC2C,1
PRPS1,1
PRPS2,1
TAB1,1
BMAL1,1
CENPA,1
NPHS1,1
PNPLA2,1
PACS2,1
ABCG2,1
RAB3A,1
Ig-beta,1
SNCAIP,1
HSP90B,1
DRBP1,1
NKD2,1
VPS4A,1
OGA,1
Scribble,1
NOD2,1
CENPQ,1
GluR1,1
SLBP,1
FOXK1,1
FBXL6,1
TRIM56,1
OCRL,1
HSP60,1
FDXR,1
PYGM,1
CDK5,1
MCAM,1
TRF2,1
ID4,1
POLQ,1
GRP94,1
TIFA,1
CASP1,1
BARD1,1
KLHL3,1
METTL3,1
nNOS,1
STF-1,1
CTBP2,1
SF1,1
SYP,1
PPPM1A,1
ARL13B,1
Oct1,1
Notch 1,1
PAX2,1
TUBB3,1
FAM134B,1
COPB1,1
CHCHD1,1
EB3,1
TRAP,1
MRPL12,1
SEC61A1,1
SEC61B,1
TRIM21,1
ZBP1,1
CaR,1
BLNK,1
ARHGAP27,1
CBCP1,1
WIT1,1
FGFR2,1
FGFR3,1
NDEL1,1
DVL3,1
ACSL4,1
Spinophilin,1
MAT1A,1
Claudin-1,1
Claudin-2,1
epsin 1,1
IGF2BP3,1
IGF2BP2,1
VPS4B,1
VANGL2,1
TRF1,1
LCMT1,1
PPP2R2B,1
WNK4,1
KPNB3,1
AP1S1,1
PKG1,1
DAD1,1
TARP,1
PELP1,1
TINF2,1
RNF31,1
PIK3CB,1
MAP2,1
MBP,1
neurogranin,1
LPAR1,1
CAPRIN1,1
cGAS,1
DNAH1,1
EphA2,1
USP10,1
G3BP-2,1
FMR1,1
FKBP12,1
NRIF3,1
MED17,1
GFAT,1
Actinfilin,1
UBR1,1
FBXL10,1
VPS33B,1
TRPC6,1
MTA3,1
RAD23A,1
NF1,1
DGKA,1
SCAI,1
HSP75,1
eIF3-zeta,1
EIF3C,1
KIF23,1
CAMK1A,1
ITGA4,1
ALK2,1
NEDD4L,1
CDK8,1
HECTD2,1
SSRP1,1
SPT16,1
TRIM35,1
MRLC2V,1
PPP1R26,1
PSME1,1
DCP1B,1
DDX6,1
tensin 3,1
NEK6,1
SFRS2,1
ITGA2B,1
CELF1,1
VPS41,1
glutaminase,1
DSN1,1
BAP1,1
P38G,1
STI1,1
TEBP,1
CCDC37,1
RALGDS,1
GTF3C1,1
FALZ,1
RPSA,1
NDRG2,1
RANBP9,1
AurC,1
DDN,1
SAV1,1
FBLIM1,1
GCHFR,1
FAAP24,1
MUC1,1
LAMA1,1
TRIP11,1
GOLGA3,1
GOLM1,1
NR0B1,1
RIP140,1
ARF6,1
SP100,1
TAF1C,1
SHFM1,1
Securin,1
SKAP55,1
MYL5,1
liprin alpha 1,1
Hic-5,1
PJA2,1
AGTRAP,1
PHC1,1
CBX8,1
Zyxin,1
LPP,1
FOXA1,1
MED31,1
MOSPD2,1
MEMO1,1
CPNE3,1
RARA iso2,1
Bcr,1
gp130,1
PIAS3,1
DDX5,1
GCP5,1
UVRAG,1
MEF2D,1
TNF-R2,1
TNFRSF25,1
SNAP-alpha,1
SERPINE1,1
SREBP-1,1
TAF1B,1
RRAGC,1
eIF3S6IP,1
TAF4,1
NME1,1
TSC1,1
CHFR,1
TRIP10,1
FNBP1L,1
NFAT1,1
PIK4CB,1
PYCARD,1
ICAM2,1
MgcRacGAP,1
LIN9,1
DKFZp686L1814,1
GPSM2,1
CTNND1,1
POT1,1
CHMP1B,1
RTEL1,1
HYAL2,1
CCND2,1
NBR1,1
FYCO1,1
p47phox,1
SNX27,1
STAP1,1
PAX1,1
VPS39,1
ITGB2,1
TPT1,1
LTBP1,1
SLC26A3,1
ROMK,1
APBA2,1
CLOCK,1
CRY1,1
LDH-A,1
RPS2,1
KCNE1,1
AP3M1,1
AP3M2,1
GLT1,1
TMEM66,1
CDON,1
RRM2,1
DLK,1
GRK5,1
VAMP2,1
TSAd,1
G-beta 2,1
DDA1,1
RBM21,1
HAUS6,1
UBE2W,1
UBE2N,1
RASD1,1
TAFII31,1
CDK5RAP3,1
EPS8,1
CDCA2,1
CUL2,1
TEAD2,1
REL,1
ERas,1
FBXO22,1
ZNF207,1
CASC5,1
DMAP1,1
LNK,1
SPTLC3,1
OPA1,1
SERT,1
RSK2,1
SYVN1,1
LIMK2,1
CDK16,1
DOK6,1
MKK7,1
SPTBN4,1
DBC-1,1
PLK2,1
MCU,1
ITGB4,1
OSCP1,1
MAST2,1
KPNA7,1
AML2,1
PTPN14,1
TEAD3,1
COMMD1,1
SETD6,1
MYH14,1
CKS1,1
RCC1,1
TRIM27,1
MMS19,1
DAPK1,1
IRS4,1
GLUT4,1
PDE6D,1
MFF,1
PRMT8,1
LRRK2,1
AQP2,1
RPT6,1
FOXP3,1
FBXO15,1
IRF9,1
SNX17,1
UNC5B,1
PLEKHG6,1
TRADD,1
NALP4,1
TPI1,1
p14ARF,1
SH3BP2,1
EXOC6,1
